"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "Vue", "Markdown", "CSS", "XML", "comment", "blank", "total"
"e:\Program Files\Desktop\datasupermarket\datasupermarket\.eslintrc.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Program Files\Desktop\datasupermarket\datasupermarket\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"e:\Program Files\Desktop\datasupermarket\datasupermarket\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Program Files\Desktop\datasupermarket\datasupermarket\jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 12, 0, 20
"e:\Program Files\Desktop\datasupermarket\datasupermarket\package-lock.json", "JSON", 0, 19545, 0, 0, 0, 0, 0, 0, 0, 1, 19546
"e:\Program Files\Desktop\datasupermarket\datasupermarket\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"e:\Program Files\Desktop\datasupermarket\datasupermarket\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 1, 1, 22
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\App.vue", "Vue", 0, 0, 0, 0, 50, 0, 0, 0, 9, 6, 65
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\home\banner1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 372, 0, 1, 373
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\home\banner2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 265, 1, 30, 296
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\home\banner3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 951, 1, 70, 1022
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\contact.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 1, 0, 13
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\contact_email.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 1, 0, 31
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\contact_phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 18, 1, 0, 19
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\contact_top.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 1, 0, 15
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\data_analysis_report.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 311, 0, 1, 312
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\data_model.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 193, 0, 1, 194
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\data_report.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 376, 0, 1, 377
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\data_service.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 156, 0, 1, 157
